agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
marin-transit,Marin Transit,D,69.7,2026-07-05,current,35,yes,Grade slipped from C to D,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
santa-rosa-citybus-1986,Santa Rosa CityBus,F,39.6,2026-07-05,stale,-854,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sonoma-county-transit-sct,Sonoma County Transit (SCT),D,69.0,2026-07-05,current,34,yes,Service data expires in 34 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
westcat,WestCAT,C,77.8,2026-07-05,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
vine-transit,VINE Transit,B,87.8,2026-07-05,current,118,yes,Score changed sharply on 2026-06-26,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ventura-county-transportation-commission,Ventura County Transportation Commission,F,45.8,2026-07-05,lapsed,-324,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
union-city-transit,Union City Transit,F,51.9,2026-07-05,stale,-1012,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
petaluma-transit,Petaluma Transit,F,48.1,2026-07-05,stale,-1101,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
simi-valley-transit,Simi Valley Transit,F,56.6,2026-07-05,stale,-1130,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
fast-transit,Fairfield and Suisun Transit (FAST),F,50.1,2026-07-05,lapsed,-5,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
camarillo-area-transit,Camarillo Area Transit,D,69.7,2026-07-05,expiring_soon,27,yes,Grade slipped from C to D,Re-export with a validity window that reaches at least 60 days out.,
moorpark-city-transit,Moorpark City Transit,C,79.4,2026-07-05,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
rio-vista-delta-breeze,Rio Vista Delta Breeze,F,52.0,2026-07-05,stale,-520,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
