agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
chatham-area-transit-cat,Chatham Area Transit (CAT),F,8.7,2026-07-05,stale,-1701,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
albany-transit-system,Albany Transit System,F,33.6,2026-07-05,stale,-735,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
georgia-tech-trolley-stinger-shuttles,Georgia Tech Trolley & Stinger Shuttles,F,37.4,2026-07-05,stale,-4446,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
atlantic-regional-commission,Atlantic Station Shuttle (FREE RIDE),F,39.8,2026-07-05,stale,-4569,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
buc-shuttle,Buc Shuttle,F,39.8,2026-07-05,stale,-4569,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
emory-university-cliff-shuttles,Emory University Cliff Shuttles,F,39.8,2026-07-05,stale,-4569,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gwinnett-county-transit,Gwinnett County Transit,F,42.4,2026-07-05,stale,-2011,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gwinnett-county-transit-369,Gwinnett County Transit,F,42.4,2026-07-05,stale,-2011,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cherokee-area-transportation-system-cats,Cherokee Area Transportation System (CATS),F,45.1,2026-07-05,stale,-4569,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chatham-area-transit-cat-2080,Chatham Area Transit (CAT),F,46.0,2026-07-05,lapsed,-343,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
atlanta-streetcar,Atlanta Streetcar,F,55.7,2026-07-05,stale,-3108,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
xpress,Xpress,F,56.7,2026-07-05,stale,-1101,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
xpress-1118,Xpress,F,56.7,2026-07-05,stale,-1101,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
metropolitan-atlanta-rapid-transit-authority-marta,Metropolitan Atlanta Rapid Transit Authority (MARTA),D,60.5,2026-07-05,current,47,yes,Service data expires in 47 day(s),Check the service alerts endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
cobb-community-transit-cct,Cobb Community Transit (CCT),F,26.2,2026-07-04,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
xpress-2355,Xpress,F,26.2,2026-07-04,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
cobblinc,CobbLinc,D,61.2,2026-07-05,current,179,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
gwinnett-county-transit-2241,Gwinnett County Transit,C,71.7,2026-07-05,current,174,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
