agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
greater-peoria-mass-transit-citylink,Greater Peoria Mass Transit (CityLink),F,36.7,2026-07-06,stale,-1675,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-peoria-mass-transit-citylink-386,Greater Peoria Mass Transit (CityLink),F,36.7,2026-07-06,stale,-1675,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
connect-transit-1238,Connect Transit,F,37.4,2026-07-06,stale,-2500,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chicago-transit-authority-cta,Chicago Transit Authority (CTA),F,37.6,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
pace-bus,Pace Bus,F,46.9,2026-07-06,stale,-828,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chicago-water-taxi,Chicago Water Taxi,F,48.0,2026-07-06,lapsed,-113,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
metro-rock-island-county-metropolitan-mass-transit-district,Metro Rock Island County Metropolitan Mass Transit District,F,48.2,2026-07-06,expiring_soon,27,yes,Service data expires in 27 day(s),Re-export with a validity window that reaches at least 60 days out.,
springfield-mass-transit-district-smtd,Springfield Mass Transit District (SMTD),F,59.8,2026-07-06,lapsed,-30,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
champaign-urbana-mass-transit-district-mtd,Champaign Urbana Mass Transit District (MTD),D,66.0,2026-07-06,current,33,yes,Service data expires in 33 day(s),Delete the empty calendars or set their service days.,
pace-bus-2347,Pace Bus,C,72.0,2026-07-06,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metra,Metra,F,34.2,2026-07-04,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
metra-2854,Metra,F,39.5,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
connect-transit-2267,Connect Transit,D,64.4,2026-07-06,current,26841,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
greater-peoria-mass-transit-citylink-2208,Greater Peoria Mass Transit (CityLink),D,66.0,2026-07-06,current,61,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
dekalb-public-transit,DeKalb Public Transit,C,74.3,2026-07-06,current,543,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
dekalb-public-transit-308,DeKalb Public Transit,C,74.3,2026-07-06,current,543,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
shawnee-mass-transit-district,Shawnee Mass Transit District,B,82.6,2026-07-06,current,8611,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
