agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
washington-county-transit,Washington County Transit,F,29.4,2026-07-05,stale,-1739,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
allegany-county-transit,Allegany County Transit,F,25.1,2026-07-05,stale,-2166,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
charles-county-vango,Charles County VanGo,F,25.8,2026-07-05,stale,-1774,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cecil-transit,Cecil Transit,F,26.8,2026-07-05,stale,-1774,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
calvert-county-public-transportation,Calvert County Public Transportation,F,30.9,2026-07-05,stale,-1805,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
annapolis-transit,Annapolis Transit,F,31.2,2026-07-05,stale,-1799,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
delmarva-community-transit,Delmarva Community Transit,F,31.4,2026-07-05,stale,-1590,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
harford-transit-link,Harford Transit LINK,F,32.0,2026-07-05,stale,-1282,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
frederick-county-transit,Frederick County TransIT,F,34.3,2026-07-05,stale,-492,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
ocean-city-transportation,Ocean City Transportation,F,34.7,2026-07-05,stale,-2235,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
carroll-transit-system,Carroll Transit System,F,42.3,2026-07-05,stale,-1616,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
shore-transit,Shore Transit,F,42.3,2026-07-05,stale,-2377,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
saint-mary-s-transit-system,Saint Maryʼs Transit System,F,42.6,2026-07-05,stale,-1980,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
st-mary-s-transit-system-sts,St. Mary's Transit System (STS),F,42.6,2026-07-05,stale,-1980,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
bwi-thurgood-marshall-airport-bwi-shuttle,BWI Thurgood Marshall Airport (BWI) Shuttle,F,46.2,2026-07-05,stale,-1282,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
shore-transit-3149,Shore Transit,F,49.2,2026-07-05,lapsed,-44,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
charm-city-circulator,Charm City Circulator,F,49.6,2026-07-05,stale,-1588,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
bethesda-circulator,Bethesda Circulator,F,49.9,2026-07-05,stale,-642,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
frederick-county-transit-2432,Frederick County TransIT,F,53.3,2026-07-05,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
regional-transportation-agency-of-central-maryland-rta-489,Regional Transportation Agency of Central Maryland (RTA),F,55.8,2026-07-05,lapsed,-5,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cecil-transit-3034,Cecil Transit,F,58.4,2026-07-05,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
queen-anne-s-county-ride,Queen Anne's County Ride,F,59.2,2026-07-05,stale,-2012,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
regional-transportation-agency-of-central-maryland-rta,Regional Transportation Agency of Central Maryland (RTA),F,59.3,2026-07-05,lapsed,-5,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
towson-loop,Towson Loop,D,62.4,2026-07-05,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
maryland-transit-administration,Local Bus,D,68.8,2026-07-05,current,48,yes,Service data expires in 48 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
prince-george-s-county-the-bus,Prince George's County (The Bus),C,74.9,2026-07-05,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
