agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
pioneer-valley-transit-authority-pvta,Pioneer Valley Transit Authority (PVTA),F,30.3,2026-07-06,stale,-842,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-attleboro-taunton-regional-transit-authority-gatra,Greater Attleboro Taunton Regional Transit Authority (GATRA),F,35.7,2026-07-06,stale,-442,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-attleboro-taunton-regional-transit-authority-gatra-418,Greater Attleboro Taunton Regional Transit Authority (GATRA),F,35.7,2026-07-06,stale,-442,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
boston-harbor-islands-ferries,Boston Harbor Islands Ferries,F,38.7,2026-07-06,stale,-2828,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
128-business-council,128 Business Council,F,39.1,2026-07-06,stale,-2743,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
128-business-council-440,128 Business Council,F,39.1,2026-07-06,stale,-2743,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
massachusetts-ferry-service,Massachusetts Ferry Service,F,40.6,2026-07-06,stale,-5666,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cape-cod-regional-transit-authority,Flex,F,41.3,2026-07-06,lapsed,-10,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
peter-pan,Peter Pan,F,43.7,2026-07-06,stale,-552,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
peter-pan-496,Peter Pan,F,43.7,2026-07-06,stale,-552,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
bloom-bus,Bloom Bus,F,44.5,2026-07-06,stale,-1312,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
merrimack-valley-regional-transit-authority-mvrta-445,Merrimack Valley Regional Transit Authority (MVRTA),F,45.4,2026-07-06,lapsed,0,yes,Service data expires in 0 day(s),"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
pioneer-valley-transit-authority-pvta-2416,Pioneer Valley Transit Authority (PVTA),F,45.7,2026-07-06,current,54,yes,Score changed sharply on 2026-06-26,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
bloom-tours,Bloom Tours,F,46.4,2026-07-06,stale,-3838,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
logan-express,Logan Express,F,48.4,2026-07-06,stale,-2012,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
logan-express-601,Logan Express,F,48.4,2026-07-06,stale,-2012,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
coach-company,Coach Company,F,48.5,2026-07-06,stale,-1497,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
coach-company-436,Coach Company,F,48.5,2026-07-06,stale,-1497,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
merrimack-valley-regional-transit-authority-mvrta,Merrimack Valley Regional Transit Authority (MVRTA),F,48.9,2026-07-06,lapsed,0,yes,Service data expires in 0 day(s),"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
dattco-motorcoach,DATTCO Motorcoach,F,50.9,2026-07-06,stale,-978,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
dattco-motorcoach-555,DATTCO Motorcoach,F,50.9,2026-07-06,stale,-978,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
limoliner,LimoLiner,F,51.1,2026-07-06,stale,-2378,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
limoliner-438,LimoLiner,F,51.1,2026-07-06,stale,-2378,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
southeastern-regional-transit-authority-srta-421,Southeastern Regional Transit Authority (SRTA),F,51.5,2026-07-06,lapsed,-9,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cape-cod-regional-transportation-authority-cape-cod-rta,Cape Cod Regional Transportation Authority (Cape Cod RTA),F,51.9,2026-07-06,lapsed,-10,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cape-cod-regional-transportation-authority-cape-cod-rta-645,Cape Cod Regional Transportation Authority (Cape Cod RTA),F,51.9,2026-07-06,lapsed,-10,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
southeastern-regional-transit-authority-srta,Southeastern Regional Transit Authority (SRTA),F,52.4,2026-07-06,lapsed,-9,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
freedom-cruise-line,Freedom Cruise Line,F,53.7,2026-07-06,lapsed,-45,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
freedom-cruise-line-425,Freedom Cruise Line,F,53.7,2026-07-06,lapsed,-45,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
worcester-regional-transit-authority-wrta,Worcester Regional Transit Authority (WRTA),F,56.0,2026-07-06,current,36,yes,Service data expires in 36 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
worcester-regional-transit-authority-wrta-432,Worcester Regional Transit Authority (WRTA),F,56.0,2026-07-06,current,36,yes,Service data expires in 36 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
lowell-regional-transit-authority-lrta,Lowell Regional Transit Authority (LRTA),D,62.1,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
lowell-regional-transit-authority-lrta-444,Lowell Regional Transit Authority (LRTA),D,62.1,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
middlesex-3-tma,Middlesex 3 TMA,D,67.3,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
middlesex-3-tma-442,Middlesex 3 TMA,D,67.3,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
blue-apple-bus-company,Blue Apple Bus Company,C,77.9,2026-07-06,current,178,yes,Score changed sharply on 2026-06-29,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
nantucket-regional-transit-authority-wave,Nantucket Regional Transit Authority (WAVE),C,78.1,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
nantucket-regional-transit-authority-wave-426,Nantucket Regional Transit Authority (WAVE),C,78.1,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
brockton-area-transit-authority-bat,Brockton Area Transit Authority (BAT),C,78.5,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
brockton-area-transit-authority-bat-422,Brockton Area Transit Authority (BAT),C,78.5,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
franklin-regional-transit-authority-frta,Franklin Regional Transit Authority (FRTA),C,79.4,2026-07-06,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cape-ann-transportation-authority-cata,Cape Ann Transportation Authority (CATA),B,81.6,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cape-ann-transportation-authority-cata-447,Cape Ann Transportation Authority (CATA),B,81.6,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
patriots-party-boats,Patriots Party Boats,B,83.6,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
patriots-party-boats-424,Patriots Party Boats,B,83.6,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
martha-s-vineyard-transit-authority,Martha's Vineyard Transit Authority,B,83.9,2026-07-06,current,89,yes,Service window shortened unexpectedly on 2026-07-04,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
martha-s-vineyard-transit-authority-420,Martha's Vineyard Transit Authority,B,83.9,2026-07-06,current,89,yes,Service window shortened unexpectedly on 2026-07-02,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
berkshire-regional-transit-authority-brta,Berkshire Regional Transit Authority (BRTA),B,86.2,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
berkshire-regional-transit-authority-brta-537,Berkshire Regional Transit Authority (BRTA),B,86.2,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
massport,Massport,B,90.0,2026-07-06,current,56,yes,Grade slipped from A to B,Populate trip_headsign to match what the bus displays.,
massachusetts-area-express-max,Massachusetts Area Express (MAX),F,31.3,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
massachusetts-area-express-max-431,Massachusetts Area Express (MAX),F,31.3,2026-06-30,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
metrowest-regional-transit-authority-mwrta,MetroWest Regional Transit Authority (MWRTA),C,71.5,2026-07-06,current,114,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
seastreak-ferry,Seastreak Ferry,C,73.5,2026-07-06,current,1354,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
massachusetts-bay-transportation-authority-mbta,Massachusetts Bay Transportation Authority (MBTA),C,75.7,2026-07-06,current,61,no,,Review the rule documentation for 'same_name_and_description_for_stop' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
montachusett-regional-transit-authority-mart,Montachusett Regional Transit Authority (MART),C,78.0,2026-07-06,current,86,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
montachusett-regional-transit-authority-mart-433,Montachusett Regional Transit Authority (MART),C,78.0,2026-07-06,current,86,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bay-state-cruise-company,Bay State Cruise Company,B,80.2,2026-07-06,current,132,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
hy-line-cruises,Hy-Line Cruises,B,81.2,2026-07-06,current,118,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
hy-line-cruises-427,Hy-Line Cruises,B,81.2,2026-07-06,current,118,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cuttyhunk-ferry-company,Cuttyhunk Ferry Company,B,83.1,2026-07-06,current,147,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cuttyhunk-ferry-company-423,Cuttyhunk Ferry Company,B,83.1,2026-07-06,current,147,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
yankee-line,Yankee Line,B,87.5,2026-07-06,current,87,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
yankee-line-443,Yankee Line,B,87.5,2026-07-06,current,87,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
plymouth-brockton-street-railway-co,Plymouth & Brockton Street Railway Co,B,88.3,2026-07-06,current,87,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
plymouth-brockton-street-railway-co-556,Plymouth & Brockton Street Railway Co,B,88.3,2026-07-06,current,87,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
boston-harbor-islands-ferries-2073,Boston Harbor Islands Ferries,A,95.3,2026-07-06,current,99,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
