agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
north-central-regional-transit-district-ncrtd,North Central Regional Transit District (NCRTD),F,41.3,2026-07-06,stale,-1801,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
carlsbad-municipal-transit-system,Carlsbad Municipal Transit System,F,42.9,2026-07-06,stale,-3840,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sandia-shuttle,Sandia Shuttle,F,49.4,2026-07-06,stale,-1283,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sandia-shuttle-167,Sandia Shuttle,F,49.4,2026-07-06,stale,-1283,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
carlsbad-municipal-transit-system-2284,Carlsbad Municipal Transit System,F,55.4,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
roadrunner-transit-2075,RoadRUNNER Transit,F,55.7,2026-07-06,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
navajo-transit-system,Navajo Transit System,F,56.6,2026-07-06,stale,-1982,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
navajo-transit-system-157,Navajo Transit System,F,56.6,2026-07-06,stale,-1982,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
red-apple-transit,Red Apple Transit,F,56.7,2026-07-06,lapsed,-37,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
red-apple-transit-160,Red Apple Transit,F,56.7,2026-07-06,lapsed,-37,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gallup-express,Gallup Express,F,59.1,2026-07-06,lapsed,-66,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gallup-express-462,Gallup Express,F,59.1,2026-07-06,lapsed,-66,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
roadrunner-transit,RoadRUNNER Transit,D,61.8,2026-07-06,stale,-1068,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
roadrunner-transit-564,RoadRUNNER Transit,D,61.8,2026-07-06,stale,-1068,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
rio-metro-regional-transit-district,Rio Metro Regional Transit District,D,63.0,2026-07-06,stale,-797,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
abq-ride,ABQ RIDE,D,63.2,2026-07-06,current,60,yes,Service data expires in 60 day(s),Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
santa-fe-trails,Santa Fe Trails,D,64.8,2026-07-06,lapsed,-98,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
santa-fe-trails-839,Santa Fe Trails,D,64.8,2026-07-06,lapsed,-98,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
atomic-city-transit,Atomic City Transit,B,84.4,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
navajo-transit-system-2346,Navajo Transit System,A,90.3,2026-07-06,current,210,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
