agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
western-reserve-transit-authority,Western Reserve Transit Authority,F,16.9,2026-07-06,stale,-2039,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-cleveland-regional-transit-authority,Greater Cleveland Regional Transit Authority,F,21.9,2026-07-06,expiring_soon,26,yes,Service data expires in 26 day(s),Re-export with a validity window that reaches at least 60 days out.,
stark-area-regional-transit-authority-sarta,Stark Area Regional Transit Authority (SARTA),F,29.2,2026-07-06,stale,-968,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
akron-metro-regional-transit-authority-metro,Akron Metro Regional Transit Authority (METRO),F,33.4,2026-07-06,stale,-1269,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
butler-county-regional-transit-authority,Butler County Regional Transit Authority,F,36.8,2026-07-06,stale,-1878,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
portage-area-regional-transportation-authority-parta,Portage Area Regional Transportation Authority (PARTA),F,36.8,2026-07-06,stale,-2368,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
athens-public-transit-1973,Athens Public Transit,F,43.3,2026-07-06,stale,-918,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
steel-valley-regional-transit-authority,Steel Valley Regional Transit Authority,F,45.9,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
athens-public-transit,Athens Public Transit,F,50.3,2026-07-06,stale,-3109,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
stark-area-regional-transit-authority-sarta-2001,Stark Area Regional Transit Authority (SARTA),F,52.6,2026-07-06,current,33,yes,Service data expires in 33 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
portage-area-regional-transportation-authority-parta-2256,Portage Area Regional Transportation Authority (PARTA),F,57.6,2026-07-06,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
national-park-service,Cuyahoga Valley Scenic Railroad,D,60.7,2026-07-06,stale,-2808,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cincinnati-metro,Cincinnati Metro,C,77.5,2026-07-06,current,40,yes,Service data expires in 40 day(s),Review the rule documentation for 'equal_shape_distance_same_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
cincinnati-metro-307,Cincinnati Metro,C,77.7,2026-07-06,current,40,yes,Service data expires in 40 day(s),Review the rule documentation for 'equal_shape_distance_same_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
akron-metro-regional-transit-authority-metro-2071,Akron Metro Regional Transit Authority (METRO),B,82.6,2026-07-06,current,47,yes,Service data expires in 47 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
central-ohio-transit-authority-cota,Central Ohio Transit Authority (COTA),D,66.4,2026-07-06,current,62,no,,"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",
laketran,Laketran,C,77.0,2026-07-06,current,83,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
laketran-410,Laketran,C,77.0,2026-07-06,current,83,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
greater-dayton-regional-transit-authority-greater-dayton-rta,Greater Dayton Regional Transit Authority (Greater Dayton RTA),C,77.2,2026-07-06,current,61,no,,"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE').",
allen-county-regional-transit-authority,Allen County Regional Transit Authority,C,79.0,2026-07-06,current,148,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
froggy-transportation,Froggy Transportation,B,82.4,2026-07-06,current,178,no,,Populate trip_headsign to match what the bus displays.,
