agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
potomac-and-rappahannock-transportation-commission-prtc,Potomac and Rappahannock Transportation Commission (PRTC),F,19.0,2026-07-04,stale,-573,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
fredericksburg-regional-transit,Fredericksburg Regional Transit,F,25.8,2026-07-04,stale,-916,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
virginia-railway-express-vre,Virginia Railway Express (VRE),F,28.3,2026-07-04,stale,-582,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
harrisonburg-department-of-public-transportation-hdpt,HDPT,F,30.4,2026-07-04,stale,-1883,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
grtc-transit-system,GRTC Transit System,F,31.8,2026-07-04,stale,-777,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
williamsburg-area-transit-authority-wata,Williamsburg Area Transit Authority (WATA),F,35.1,2026-07-04,stale,-1100,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
brite,Brite,F,35.2,2026-07-04,lapsed,-184,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
fredericksburg-regional-transit-2430,Fredericksburg Regional Transit,F,38.6,2026-07-04,stale,-460,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
virginia-breeze,Virginia Breeze,F,40.4,2026-07-04,stale,-1464,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
potomac-and-rappahannock-transportation-commission-prtc-omniride,Potomac and Rappahannock Transportation Commission (PRTC) Omniride,F,40.5,2026-07-04,expiring_soon,21,yes,Service data expires in 21 day(s),Re-export with a validity window that reaches at least 60 days out.
pulaski-area-transit-pat,Pulaski Area Transit (PAT),F,42.6,2026-07-04,stale,-1465,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
williamsburg-area-transit-authority,Williamsburg Area Transit Authority,F,43.0,2026-07-04,stale,-1100,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
williamsburg-area-transit-authority-901,Williamsburg Area Transit Authority,F,43.0,2026-07-04,stale,-1100,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
valley-metro,Valley Metro,F,46.3,2026-07-04,stale,-3837,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
valley-metro-1239,Valley Metro,F,46.3,2026-07-04,stale,-3837,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
petersburg-area-transit-2441,Flex,F,48.5,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
mountain-lynx-transit-2447,Flex,F,50.5,2026-07-04,current,33,yes,Service data expires in 33 day(s),Review the rule documentation for 'invalid_pickup_drop_off_window' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
radford-transit,Radford Transit,F,52.1,2026-07-04,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
blacksburg-transit,Blacksburg Transit,F,59.5,2026-07-04,expiring_soon,27,yes,Grade slipped from D to F,Re-export with a validity window that reaches at least 60 days out.
radar-2443,Flex,D,60.0,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
williamsburg-area-transit-authority-2649,Williamsburg Area Transit Authority,D,60.2,2026-07-04,current,31,yes,Service data expires in 31 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
petersburg-area-transit,Petersburg Area Transit,D,60.8,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
petersburg-area-transit-591,Petersburg Area Transit,D,60.8,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
wintran,WinTran,D,61.6,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
wintran-608,WinTran,D,61.6,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
radford-transit-2415,Radford Transit,D,62.1,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
graham-transit,Graham Transit,D,64.2,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
graham-transit-611,Graham Transit,D,64.2,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
mountain-lynx-transit,Mountain Lynx Transit,D,64.5,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
mountain-lynx-transit-334,Mountain Lynx Transit,D,64.5,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
farmville-area-bus,Farmville Area Bus,D,66.7,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
farmville-area-bus-461,Farmville Area Bus,D,66.7,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
pony-express,Pony Express,D,68.6,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
pony-express-828,Pony Express,D,68.6,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
greensville-emporia-transit,Greensville Emporia Transit,D,69.0,2026-07-04,expiring_soon,27,yes,Service data expires in 27 day(s),Re-export with a validity window that reaches at least 60 days out.
greensville-emporia-transit-463,Greensville Emporia Transit,D,69.0,2026-07-04,expiring_soon,27,yes,Service data expires in 27 day(s),Re-export with a validity window that reaches at least 60 days out.
radar,RADAR,C,70.5,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
radar-832,RADAR,C,70.5,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
bristol-virginia-transit,Bristol Virginia Transit,C,70.7,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
bristol-virginia-transit-238,Bristol Virginia Transit,C,70.7,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
alexandria-transit-company-dash,Alexandria Transit Company (DASH),C,73.5,2026-07-04,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
arlington-transit-2434,Flex,C,75.1,2026-07-04,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
