id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
10-15-transit,10-15 Transit,Iowa,C,79.0,medium,78,2026-07-04,59,current,195,8.0.1,https://data.trilliumtransit.com/gtfs/10-15transit-ia-us/10-15transit-ia-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/10-15-transit/
10-15-transit-195,10-15 Transit,Iowa,C,79.0,medium,78,2026-07-04,59,current,195,8.0.1,http://data.trilliumtransit.com/gtfs/10-15transit-ia-us/10-15transit-ia-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/10-15-transit-195/
128-business-council,128 Business Council,Massachusetts,F,39.1,small,12,2026-07-04,-2741,stale,440,8.0.1,https://data.trilliumtransit.com/gtfs/route128corridor-ma-us/route128corridor-ma-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/128-business-council/
128-business-council-440,128 Business Council,Massachusetts,F,39.1,small,12,2026-07-04,-2741,stale,440,8.0.1,http://data.trilliumtransit.com/gtfs/route128corridor-ma-us/route128corridor-ma-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/128-business-council-440/
81-connection-citygo-kanconnect,"81 Connection, CityGo, KanConnect",Kansas,F,50.1,medium,34,2026-07-04,-916,stale,1867,8.0.1,https://salinacitygo.com/wp-content/uploads/2022/11/export-2022-11-30T10-18-07.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/81-connection-citygo-kanconnect/
abq-ride,ABQ RIDE,New Mexico,D,63.2,large,54,2026-07-04,62,current,166,8.0.1,https://data.cabq.gov/transit/gtfs/google_transit.zip,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/abq-ride/
academy-bus,Academy Bus,New York,F,42.3,medium,16,2026-07-04,-1179,stale,209,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Academy_Express_-_Staten_Island.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/academy-bus/
access-allegany,Access Allegany,New York,F,42.0,small,16,2026-07-04,-185,lapsed,531,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Access_Allegany.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/access-allegany/
adams-county,Flex,Colorado,D,66.9,small,58,2026-07-04,28,expiring_soon,2156,8.0.1,https://data.trilliumtransit.com/gtfs/adamscounty-co-us/adamscounty-co-us--flex-v2.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/adams-county/
addison-county-transit-actr,Addison County Transit (ACTR),Vermont,F,37.8,medium,11,2026-07-04,-2376,stale,543,8.0.1,https://data.trilliumtransit.com/gtfs/addisoncounty-vt-us/addisoncounty-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/addison-county-transit-actr/
addison-county-transit-actr-543,Addison County Transit (ACTR),Vermont,F,37.8,medium,11,2026-07-04,-2376,stale,543,8.0.1,http://data.trilliumtransit.com/gtfs/addisoncounty-vt-us/addisoncounty-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/addison-county-transit-actr-543/
adirondack-trailways-adp,Adirondack Trailways ADP,New York,F,45.1,small,22,2026-07-04,1641,current,823,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Trailways-ADP.zip,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/adirondack-trailways-adp/
adirondack-trailways-nyp,Adirondack Trailways NYP,New York,F,42.5,small,17,2026-07-04,1641,current,824,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Trailways-NYP.zip,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/adirondack-trailways-nyp/
adirondack-trailways-pine-hill-trailways,Adirondack Trailways Pine Hill Trailways,New York,F,2.3,small,0,2026-07-04,-1646,stale,826,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Trailways-PHK.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/adirondack-trailways-pine-hill-trailways/
advance-transit,Advance Transit,Vermont,C,74.3,medium,67,2026-07-04,150,current,631,8.0.1,https://data.trilliumtransit.com/gtfs/advancetransit-vt-us/advancetransit-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/advance-transit/
advance-transit-631,Advance Transit,Vermont,C,74.3,medium,67,2026-07-04,150,current,631,8.0.1,http://data.trilliumtransit.com/gtfs/advancetransit-vt-us/advancetransit-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/advance-transit-631/
advance-transit-at,Advance Transit (AT),New Hampshire,F,42.3,medium,16,2026-07-04,-1200,stale,451,8.0.1,http://whereismybus.advancetransit.com/GTFS/feed.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/advance-transit-at/
airport-valet-express,Airport Valet Express,California,F,44.5,small,20,2026-07-04,-2194,stale,27,8.0.1,https://data.trilliumtransit.com/gtfs/airportvaletexpress-ca-us/airportvaletexpress-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/airport-valet-express/
airport-valet-express-27,Airport Valet Express,California,F,44.5,small,20,2026-07-04,-2194,stale,27,8.0.1,http://data.trilliumtransit.com/gtfs/airportvaletexpress-ca-us/airportvaletexpress-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/airport-valet-express-27/
akron-metro-regional-transit-authority-metro,Akron Metro Regional Transit Authority (METRO),Ohio,F,33.4,large,7,2026-07-04,-1267,stale,411,8.0.1,https://www.akronmetro.org/Data/Sites/2/gtfs-data/akronmetrogtfs.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/akron-metro-regional-transit-authority-metro/
akron-metro-regional-transit-authority-metro-2071,Akron Metro Regional Transit Authority (METRO),Ohio,B,83.4,large,90,2026-07-04,49,current,2071,8.0.1,https://www.yourmetrobus.org/Data/Sites/2/gtfs-data/metro_rta_gtfs.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/akron-metro-regional-transit-authority-metro-2071/
alameda-contra-costa-transit-district-ac-transit,Alameda-Contra Costa Transit District (AC Transit),California,F,52.2,large,39,2026-07-04,-854,stale,1244,8.0.1,https://transitfeeds.com/p/ac-transit/1269/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alameda-contra-costa-transit-district-ac-transit/
albany-transit-system,Albany Transit System,Georgia,F,33.6,medium,8,2026-07-04,-734,stale,2146,8.0.1,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11834/ats_albany_ga_us(2).zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/albany-transit-system/
alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",California,F,46.7,small,26,2026-07-04,-1738,stale,595,8.0.1,https://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet/
alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet-595,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",California,F,46.7,small,26,2026-07-04,-1738,stale,595,8.0.1,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet-595/
alexandria-dot,City of Alexandria,,C,75.5,small,71,2026-07-04,150,current,2936,8.0.1,https://data.trilliumtransit.com/gtfs/cityofalexandria-va-us/cityofalexandria-va-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/alexandria-dot/
alexandria-transit-company-dash,Alexandria Transit Company (DASH),Virginia,C,73.5,medium,66,2026-07-04,58,current,482,8.0.1,http://dashbus.com/google_transit.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/alexandria-transit-company-dash/
alhambra-community-transit,Alhambra Community Transit,,F,47.6,small,29,2026-07-04,-1646,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/alhambra-ca-us/alhambra-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alhambra-community-transit/
alhambra-community-transit-211,Alhambra Community Transit,California,F,47.6,small,29,2026-07-04,-1646,stale,211,8.0.1,http://data.trilliumtransit.com/gtfs/alhambra-ca-us/alhambra-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alhambra-community-transit-211/
all-points-transit,All Points Transit,Colorado,D,64.1,medium,54,2026-07-04,28,expiring_soon,212,8.0.1,https://data.trilliumtransit.com/gtfs/allpointstransit-co-us/allpointstransit-co-us.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/all-points-transit/
all-points-transit-2039,Flex v2 included,Colorado,D,62.3,medium,53,2026-07-04,28,expiring_soon,2039,8.0.1,https://data.trilliumtransit.com/gtfs/allpointstransit-co-us/allpointstransit-co-us--flex-v2.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/all-points-transit-2039/
all-points-transit-212,All Points Transit,Colorado,D,64.1,medium,54,2026-07-04,28,expiring_soon,212,8.0.1,http://data.trilliumtransit.com/gtfs/allpointstransit-co-us/allpointstransit-co-us.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/all-points-transit-212/
allegany-county-transit,Allegany County Transit,Maryland,F,25.1,medium,3,2026-07-04,-2165,stale,408,8.0.1,https://github.com/mobilityequity/maryland-local-gtfs/raw/master/Allegany_GTFS.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/allegany-county-transit/
allen-county-regional-transit-authority,Allen County Regional Transit Authority,Ohio,C,79.0,medium,78,2026-07-04,150,current,210,8.0.1,https://data.trilliumtransit.com/gtfs/acrta-oh-us/acrta-oh-us.zip,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",https://gtfsscorecard.org/agency/allen-county-regional-transit-authority/
altamont-corridor-express,Altamont Corridor Express,California,F,46.8,small,27,2026-07-04,-550,stale,1133,8.0.1,https://transitfeeds.com/p/altamont-corridor-express/823/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/altamont-corridor-express/
